True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-4.0, -13.375, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-1.0, -13.375, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-14.125, -10.0, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-7.75, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-13.75, -10.0, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-7.75, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-11.5, -11.125, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-8.125, -10.0, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-8.875, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-8.125, -10.0, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-8.875, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-10.0, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-8.875, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-7.75, -10.0, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-6.25, -11.5, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-11.5, -8.125, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-9.25, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-2.875, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-6.625, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.875, -11.875, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.125, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-2.5, -10.0, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-4.75, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-3.625, -12.25, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.5, -11.5, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (0.125, -13.375, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-4.0, -11.5, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-8.125, -9.625, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-5.125, -11.125, 0.0, NaN)
True: (-9.2, -10.75, 0.0, NaN) - Estimate: (-8.875, -9.625, 0.0, NaN)
