Distance(2.757716446627536), Percent Closer or Equal(42.17)
Distance(5.106544820130338), Percent Closer or Equal(69.91)
Distance(5.036119537898202), Percent Closer or Equal(69.13)
Distance(1.5425952158618927), Percent Closer or Equal(21.22)
Distance(9.720437232964368), Percent Closer or Equal(90.0)
Distance(8.887845633222934), Percent Closer or Equal(88.09)
Distance(6.865857557508749), Percent Closer or Equal(80.52)
Distance(1.5508062419270825), Percent Closer or Equal(21.57)
Distance(8.628441342444185), Percent Closer or Equal(87.22)
Distance(4.51275968781853), Percent Closer or Equal(65.13)
Distance(24.26329738514532), Percent Closer or Equal(99.04)
Distance(11.090437322306096), Percent Closer or Equal(93.57)
Distance(5.445410911951458), Percent Closer or Equal(71.22)
Distance(0.6576473218982956), Percent Closer or Equal(5.74)
Distance(0.6576473218982957), Percent Closer or Equal(5.83)
Distance(5.302122216622322), Percent Closer or Equal(70.7)
Distance(3.6503424496887966), Percent Closer or Equal(54.26)
Distance(2.80401497856199), Percent Closer or Equal(43.91)
Distance(4.044749683231337), Percent Closer or Equal(60.17)
Distance(3.7326264211678084), Percent Closer or Equal(56.61)
Distance(1.6160754932861279), Percent Closer or Equal(22.87)
Distance(1.932278447843374), Percent Closer or Equal(30.43)
Distance(3.18276609256791), Percent Closer or Equal(49.3)
Distance(3.6503424496887944), Percent Closer or Equal(54.09)
Distance(3.6638367867578383), Percent Closer or Equal(54.61)
Distance(2.370232056149778), Percent Closer or Equal(37.04)
Distance(3.2984845004941277), Percent Closer or Equal(50.87)
Distance(4.7754580932094886), Percent Closer or Equal(67.74)
Distance(2.7081543530604013), Percent Closer or Equal(41.39)
Distance(2.6443335644354704), Percent Closer or Equal(40.52)
