Distance(7.390832158830289), Percent Closer or Equal(59.65)
Distance(3.4719735022030345), Percent Closer or Equal(28.52)
Distance(4.193292262649958), Percent Closer or Equal(35.04)
Distance(2.8900692033236854), Percent Closer or Equal(20.0)
Distance(4.293821142059831), Percent Closer or Equal(35.65)
Distance(2.8900692033236846), Percent Closer or Equal(19.83)
Distance(22.45833753865143), Percent Closer or Equal(89.04)
Distance(4.619794367718113), Percent Closer or Equal(41.22)
Distance(12.933870263768691), Percent Closer or Equal(79.74)
Distance(4.802343178074635), Percent Closer or Equal(42.87)
Distance(4.071854614300467), Percent Closer or Equal(34.52)
Distance(6.941390350643018), Percent Closer or Equal(58.43)
Distance(3.78021163428716), Percent Closer or Equal(32.78)
Distance(1.591005971076161), Percent Closer or Equal(8.17)
Distance(3.557091508522096), Percent Closer or Equal(30.43)
Distance(3.580195525386847), Percent Closer or Equal(31.65)
Distance(6.659767263200719), Percent Closer or Equal(56.52)
Distance(3.3856461717078465), Percent Closer or Equal(27.22)
Distance(7.670749637421365), Percent Closer or Equal(61.3)
Distance(5.25380814267137), Percent Closer or Equal(48.0)
Distance(4.31740662898458), Percent Closer or Equal(35.83)
Distance(1.1921828718783039), Percent Closer or Equal(5.83)
Distance(22.122102635147503), Percent Closer or Equal(88.96)
Distance(1.49164338901763), Percent Closer or Equal(7.3)
Distance(4.623872835621671), Percent Closer or Equal(41.3)
Distance(0.277308492477241), Percent Closer or Equal(0.17)
Distance(2.3438643305447524), Percent Closer or Equal(12.61)
Distance(10.905819547379279), Percent Closer or Equal(73.3)
Distance(1.7216852209390663), Percent Closer or Equal(9.22)
Distance(3.8009077863057916), Percent Closer or Equal(32.96)
Distance(2.9706901555025897), Percent Closer or Equal(20.78)
Distance(2.526697449240807), Percent Closer or Equal(14.78)
Distance(2.478144467136652), Percent Closer or Equal(13.91)
Distance(2.7648688938175714), Percent Closer or Equal(17.13)
Distance(7.306161783043132), Percent Closer or Equal(59.48)
Distance(4.554053139786579), Percent Closer or Equal(39.48)
Distance(4.726827688841641), Percent Closer or Equal(42.26)
Distance(0.6325345840347392), Percent Closer or Equal(2.17)
Distance(4.34658486630596), Percent Closer or Equal(36.0)
Distance(6.462422146532986), Percent Closer or Equal(54.17)
Distance(5.180289567196027), Percent Closer or Equal(46.87)
Distance(8.112490369793978), Percent Closer or Equal(64.96)
Distance(4.310556808580534), Percent Closer or Equal(35.74)
Distance(7.961940718191765), Percent Closer or Equal(61.57)
Distance(16.08589832741709), Percent Closer or Equal(84.87)
Distance(23.241685072300587), Percent Closer or Equal(90.87)
Distance(15.2617987144373), Percent Closer or Equal(84.52)
Distance(1.3843771162512042), Percent Closer or Equal(6.78)
Distance(6.202233468678844), Percent Closer or Equal(52.17)
Distance(7.101359024862777), Percent Closer or Equal(58.96)
Distance(4.697073557013985), Percent Closer or Equal(42.0)
Distance(3.858108344772085), Percent Closer or Equal(33.22)
