320: Distance(8.461329682738997), Percent Closer or Equal(72.17)
321: Distance(8.421698166047037), Percent Closer or Equal(72.09)
322: Distance(8.421698166047037), Percent Closer or Equal(72.09)
323: Distance(8.421698166047037), Percent Closer or Equal(72.09)
324: Distance(8.336066218546971), Percent Closer or Equal(71.83)
325: Distance(8.336066218546971), Percent Closer or Equal(71.83)
326: Distance(8.336066218546971), Percent Closer or Equal(71.83)
327: Distance(8.2), Percent Closer or Equal(71.57)
328: Distance(8.2), Percent Closer or Equal(71.57)
329: Distance(8.2), Percent Closer or Equal(71.57)
330: Distance(8.2), Percent Closer or Equal(71.57)
331: Distance(8.2), Percent Closer or Equal(71.57)
332: Distance(8.2), Percent Closer or Equal(71.57)
333: Distance(8.2), Percent Closer or Equal(71.57)
334: Distance(8.2), Percent Closer or Equal(71.57)
335: Distance(8.2), Percent Closer or Equal(71.57)
336: Distance(8.2), Percent Closer or Equal(71.57)
337: Distance(8.2), Percent Closer or Equal(71.57)
338: Distance(8.2), Percent Closer or Equal(71.57)
339: Distance(8.2), Percent Closer or Equal(71.57)
340: Distance(8.2), Percent Closer or Equal(71.57)
341: Distance(8.2), Percent Closer or Equal(71.57)
342: Distance(8.2), Percent Closer or Equal(71.57)
343: Distance(8.2), Percent Closer or Equal(71.57)
344: Distance(8.2), Percent Closer or Equal(71.57)
345: Distance(8.069510517993022), Percent Closer or Equal(70.0)
346: Distance(8.069510517993022), Percent Closer or Equal(70.0)
347: Distance(8.016389461596786), Percent Closer or Equal(69.83)
348: Distance(8.016389461596786), Percent Closer or Equal(69.83)
349: Distance(8.016389461596786), Percent Closer or Equal(69.83)
350: Distance(8.016389461596786), Percent Closer or Equal(69.83)
351: Distance(7.971210698507473), Percent Closer or Equal(69.48)
352: Distance(7.807848615335726), Percent Closer or Equal(69.39)
353: Distance(7.807848615335726), Percent Closer or Equal(69.39)
354: Distance(7.807848615335726), Percent Closer or Equal(69.39)
355: Distance(7.807848615335726), Percent Closer or Equal(69.39)
356: Distance(7.731752712031082), Percent Closer or Equal(69.04)
357: Distance(7.731752712031082), Percent Closer or Equal(69.04)
358: Distance(7.731752712031082), Percent Closer or Equal(69.04)
359: Distance(7.731752712031082), Percent Closer or Equal(69.04)
360: Distance(7.731752712031082), Percent Closer or Equal(69.04)
361: Distance(7.731752712031082), Percent Closer or Equal(69.04)
362: Distance(7.731752712031082), Percent Closer or Equal(69.04)
363: Distance(7.731752712031082), Percent Closer or Equal(69.04)
364: Distance(7.731752712031082), Percent Closer or Equal(69.04)
365: Distance(7.731752712031082), Percent Closer or Equal(69.04)
366: Distance(7.731752712031082), Percent Closer or Equal(69.04)
367: Distance(7.731752712031082), Percent Closer or Equal(69.04)
368: Distance(7.731752712031082), Percent Closer or Equal(69.04)
369: Distance(7.731752712031082), Percent Closer or Equal(69.04)
370: Distance(7.731752712031082), Percent Closer or Equal(69.04)
371: Distance(7.538235867893761), Percent Closer or Equal(67.74)
372: Distance(7.538235867893761), Percent Closer or Equal(67.74)
373: Distance(7.458216945088149), Percent Closer or Equal(67.57)
374: Distance(7.458216945088149), Percent Closer or Equal(67.57)
375: Distance(7.458216945088149), Percent Closer or Equal(67.57)
376: Distance(7.458216945088149), Percent Closer or Equal(67.57)
377: Distance(7.458216945088149), Percent Closer or Equal(67.57)
378: Distance(7.458216945088149), Percent Closer or Equal(67.57)
379: Distance(7.458216945088149), Percent Closer or Equal(67.57)
380: Distance(7.458216945088149), Percent Closer or Equal(67.57)
381: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
382: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
383: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
384: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
385: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
386: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
387: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
388: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
389: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
390: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
391: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
392: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
393: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
394: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
395: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
396: Distance(7.3852894323783955), Percent Closer or Equal(66.87)
397: Distance(7.374618634207467), Percent Closer or Equal(65.48)
398: Distance(7.374618634207467), Percent Closer or Equal(65.48)
399: Distance(7.343704787094864), Percent Closer or Equal(65.3)
400: Distance(7.335720823477405), Percent Closer or Equal(65.22)
401: Distance(7.19200945494373), Percent Closer or Equal(65.13)
402: Distance(7.035353580311369), Percent Closer or Equal(65.04)
403: Distance(7.035353580311369), Percent Closer or Equal(65.04)
404: Distance(7.008744538075275), Percent Closer or Equal(64.87)
405: Distance(7.008744538075275), Percent Closer or Equal(64.87)
406: Distance(7.008744538075275), Percent Closer or Equal(64.87)
407: Distance(7.008744538075275), Percent Closer or Equal(64.87)
408: Distance(7.008744538075275), Percent Closer or Equal(64.87)
409: Distance(7.008744538075275), Percent Closer or Equal(64.87)
410: Distance(7.008744538075275), Percent Closer or Equal(64.87)
411: Distance(7.008744538075275), Percent Closer or Equal(64.87)
412: Distance(7.008744538075275), Percent Closer or Equal(64.87)
413: Distance(7.00178548657412), Percent Closer or Equal(64.09)
414: Distance(6.894055410279205), Percent Closer or Equal(64.0)
415: Distance(6.865857557508749), Percent Closer or Equal(63.91)
416: Distance(6.814169061595112), Percent Closer or Equal(63.83)
417: Distance(6.814169061595112), Percent Closer or Equal(63.83)
418: Distance(6.814169061595112), Percent Closer or Equal(63.83)
419: Distance(6.768692635952676), Percent Closer or Equal(63.57)
420: Distance(6.764259013373157), Percent Closer or Equal(63.48)
421: Distance(6.647134721065912), Percent Closer or Equal(63.39)
422: Distance(6.600946901770987), Percent Closer or Equal(63.3)
423: Distance(6.600946901770987), Percent Closer or Equal(63.3)
