271: Distance(5.88), Percent Closer(76.43)
272: Distance(5.88), Percent Closer(76.35)
273: Distance(5.88), Percent Closer(76.26)
274: Distance(5.88), Percent Closer(76.17)
275: Distance(5.84), Percent Closer(76.09)
276: Distance(5.84), Percent Closer(76.0)
277: Distance(5.84), Percent Closer(75.91)
278: Distance(5.84), Percent Closer(75.83)
279: Distance(5.79), Percent Closer(75.74)
280: Distance(5.68), Percent Closer(75.65)
281: Distance(5.66), Percent Closer(75.57)
282: Distance(5.66), Percent Closer(75.48)
283: Distance(5.64), Percent Closer(75.39)
284: Distance(5.62), Percent Closer(75.3)
285: Distance(5.62), Percent Closer(75.22)
286: Distance(5.62), Percent Closer(75.13)
287: Distance(5.62), Percent Closer(75.04)
288: Distance(5.61), Percent Closer(74.96)
289: Distance(5.59), Percent Closer(74.87)
290: Distance(5.59), Percent Closer(74.78)
291: Distance(5.59), Percent Closer(74.7)
292: Distance(5.59), Percent Closer(74.61)
293: Distance(5.51), Percent Closer(74.52)
294: Distance(5.51), Percent Closer(74.43)
295: Distance(5.51), Percent Closer(74.35)
296: Distance(5.51), Percent Closer(74.26)
297: Distance(5.44), Percent Closer(74.17)
298: Distance(5.43), Percent Closer(74.09)
299: Distance(5.43), Percent Closer(74.0)
300: Distance(5.43), Percent Closer(73.91)
301: Distance(5.43), Percent Closer(73.83)
302: Distance(5.41), Percent Closer(73.74)
303: Distance(5.35), Percent Closer(73.65)
304: Distance(5.35), Percent Closer(73.57)
305: Distance(5.35), Percent Closer(73.48)
306: Distance(5.35), Percent Closer(73.39)
307: Distance(5.35), Percent Closer(73.3)
308: Distance(5.35), Percent Closer(73.22)
309: Distance(5.35), Percent Closer(73.13)
310: Distance(5.35), Percent Closer(73.04)
311: Distance(5.35), Percent Closer(72.96)
312: Distance(5.35), Percent Closer(72.87)
313: Distance(5.35), Percent Closer(72.78)
314: Distance(5.35), Percent Closer(72.7)
315: Distance(5.35), Percent Closer(72.61)
316: Distance(5.35), Percent Closer(72.52)
317: Distance(5.31), Percent Closer(72.43)
318: Distance(5.31), Percent Closer(72.35)
319: Distance(5.31), Percent Closer(72.26)
320: Distance(5.31), Percent Closer(72.17)
321: Distance(5.31), Percent Closer(72.09)
322: Distance(5.31), Percent Closer(72.0)
323: Distance(5.31), Percent Closer(71.91)
324: Distance(5.27), Percent Closer(71.83)
325: Distance(5.27), Percent Closer(71.74)
326: Distance(5.25), Percent Closer(71.65)
327: Distance(5.25), Percent Closer(71.57)
328: Distance(5.25), Percent Closer(71.48)
329: Distance(5.25), Percent Closer(71.39)
330: Distance(5.23), Percent Closer(71.3)
331: Distance(5.23), Percent Closer(71.22)
332: Distance(5.23), Percent Closer(71.13)
333: Distance(5.23), Percent Closer(71.04)
334: Distance(5.23), Percent Closer(70.96)
335: Distance(5.19), Percent Closer(70.87)
336: Distance(5.18), Percent Closer(70.78)
337: Distance(5.18), Percent Closer(70.7)
338: Distance(5.17), Percent Closer(70.61)
339: Distance(5.17), Percent Closer(70.52)
340: Distance(5.14), Percent Closer(70.43)
341: Distance(5.13), Percent Closer(70.35)
342: Distance(5.13), Percent Closer(70.26)
343: Distance(5.13), Percent Closer(70.17)
344: Distance(5.07), Percent Closer(70.09)
345: Distance(5.04), Percent Closer(70.0)
346: Distance(5.04), Percent Closer(69.91)
347: Distance(5.04), Percent Closer(69.83)
348: Distance(5.04), Percent Closer(69.74)
349: Distance(5.0), Percent Closer(69.65)
350: Distance(5.0), Percent Closer(69.57)
351: Distance(5.0), Percent Closer(69.48)
352: Distance(5.0), Percent Closer(69.39)
353: Distance(5.0), Percent Closer(69.3)
354: Distance(5.0), Percent Closer(69.22)
355: Distance(5.0), Percent Closer(69.13)
356: Distance(5.0), Percent Closer(69.04)
357: Distance(4.88), Percent Closer(68.96)
358: Distance(4.84), Percent Closer(68.87)
359: Distance(4.84), Percent Closer(68.78)
360: Distance(4.84), Percent Closer(68.7)
361: Distance(4.84), Percent Closer(68.61)
362: Distance(4.84), Percent Closer(68.52)
363: Distance(4.84), Percent Closer(68.43)
364: Distance(4.84), Percent Closer(68.35)
365: Distance(4.84), Percent Closer(68.26)
366: Distance(4.84), Percent Closer(68.17)
367: Distance(4.84), Percent Closer(68.09)
368: Distance(4.84), Percent Closer(68.0)
369: Distance(4.84), Percent Closer(67.91)
370: Distance(4.84), Percent Closer(67.83)
371: Distance(4.84), Percent Closer(67.74)
372: Distance(4.84), Percent Closer(67.65)
373: Distance(4.84), Percent Closer(67.57)
374: Distance(4.84), Percent Closer(67.48)
375: Distance(4.84), Percent Closer(67.39)
376: Distance(4.84), Percent Closer(67.3)
377: Distance(4.84), Percent Closer(67.22)
378: Distance(4.84), Percent Closer(67.13)
379: Distance(4.84), Percent Closer(67.04)
380: Distance(4.84), Percent Closer(66.96)
381: Distance(4.84), Percent Closer(66.87)
382: Distance(4.84), Percent Closer(66.78)
383: Distance(4.84), Percent Closer(66.7)
384: Distance(4.84), Percent Closer(66.61)
385: Distance(4.84), Percent Closer(66.52)
386: Distance(4.84), Percent Closer(66.43)
387: Distance(4.82), Percent Closer(66.35)
388: Distance(4.82), Percent Closer(66.26)
389: Distance(4.81), Percent Closer(66.17)
390: Distance(4.76), Percent Closer(66.09)
391: Distance(4.76), Percent Closer(66.0)
392: Distance(4.75), Percent Closer(65.91)
393: Distance(4.75), Percent Closer(65.83)
394: Distance(4.73), Percent Closer(65.74)
395: Distance(4.7), Percent Closer(65.65)
396: Distance(4.65), Percent Closer(65.57)
397: Distance(4.65), Percent Closer(65.48)
398: Distance(4.65), Percent Closer(65.39)
399: Distance(4.6), Percent Closer(65.3)
400: Distance(4.58), Percent Closer(65.22)
401: Distance(4.58), Percent Closer(65.13)
402: Distance(4.57), Percent Closer(65.04)
403: Distance(4.57), Percent Closer(64.96)
404: Distance(4.54), Percent Closer(64.87)
405: Distance(4.54), Percent Closer(64.78)
406: Distance(4.53), Percent Closer(64.7)
407: Distance(4.48), Percent Closer(64.61)
408: Distance(4.48), Percent Closer(64.52)
409: Distance(4.48), Percent Closer(64.43)
410: Distance(4.45), Percent Closer(64.35)
411: Distance(4.45), Percent Closer(64.26)
412: Distance(4.45), Percent Closer(64.17)
413: Distance(4.45), Percent Closer(64.09)
414: Distance(4.45), Percent Closer(64.0)
415: Distance(4.45), Percent Closer(63.91)
416: Distance(4.45), Percent Closer(63.83)
417: Distance(4.45), Percent Closer(63.74)
418: Distance(4.45), Percent Closer(63.65)
419: Distance(4.45), Percent Closer(63.57)
420: Distance(4.45), Percent Closer(63.48)
421: Distance(4.45), Percent Closer(63.39)
422: Distance(4.45), Percent Closer(63.3)
423: Distance(4.45), Percent Closer(63.22)
424: Distance(4.43), Percent Closer(63.13)
425: Distance(4.43), Percent Closer(63.04)
426: Distance(4.43), Percent Closer(62.96)
427: Distance(4.43), Percent Closer(62.87)
428: Distance(4.43), Percent Closer(62.78)
429: Distance(4.43), Percent Closer(62.7)
430: Distance(4.41), Percent Closer(62.61)
431: Distance(4.41), Percent Closer(62.52)
432: Distance(4.41), Percent Closer(62.43)
433: Distance(4.41), Percent Closer(62.35)
434: Distance(4.37), Percent Closer(62.26)
435: Distance(4.37), Percent Closer(62.17)
436: Distance(4.37), Percent Closer(62.09)
437: Distance(4.36), Percent Closer(62.0)
438: Distance(4.31), Percent Closer(61.91)
439: Distance(4.29), Percent Closer(61.83)
440: Distance(4.29), Percent Closer(61.74)
441: Distance(4.23), Percent Closer(61.65)
442: Distance(4.23), Percent Closer(61.57)
443: Distance(4.23), Percent Closer(61.48)
444: Distance(4.22), Percent Closer(61.39)
445: Distance(4.21), Percent Closer(61.3)
446: Distance(4.2), Percent Closer(61.22)
447: Distance(4.2), Percent Closer(61.13)
448: Distance(4.18), Percent Closer(61.04)
449: Distance(4.18), Percent Closer(60.96)
450: Distance(4.17), Percent Closer(60.87)
451: Distance(4.17), Percent Closer(60.78)
452: Distance(4.17), Percent Closer(60.7)
453: Distance(4.17), Percent Closer(60.61)
454: Distance(4.17), Percent Closer(60.52)
455: Distance(4.16), Percent Closer(60.43)
456: Distance(4.13), Percent Closer(60.35)
457: Distance(4.13), Percent Closer(60.26)
458: Distance(4.13), Percent Closer(60.17)
459: Distance(4.13), Percent Closer(60.09)
460: Distance(4.13), Percent Closer(60.0)
461: Distance(4.13), Percent Closer(59.91)
462: Distance(4.12), Percent Closer(59.83)
463: Distance(4.11), Percent Closer(59.74)
464: Distance(4.11), Percent Closer(59.65)
465: Distance(4.11), Percent Closer(59.57)
466: Distance(4.07), Percent Closer(59.48)
467: Distance(4.07), Percent Closer(59.39)
468: Distance(4.07), Percent Closer(59.3)
469: Distance(4.07), Percent Closer(59.22)
470: Distance(4.07), Percent Closer(59.13)
471: Distance(4.07), Percent Closer(59.04)
472: Distance(4.06), Percent Closer(58.96)
473: Distance(4.06), Percent Closer(58.87)
474: Distance(4.06), Percent Closer(58.78)
475: Distance(4.06), Percent Closer(58.7)
476: Distance(4.06), Percent Closer(58.61)
477: Distance(4.06), Percent Closer(58.52)
478: Distance(4.06), Percent Closer(58.43)
479: Distance(4.06), Percent Closer(58.35)
480: Distance(4.06), Percent Closer(58.26)
481: Distance(4.06), Percent Closer(58.17)
482: Distance(4.06), Percent Closer(58.09)
483: Distance(4.06), Percent Closer(58.0)
484: Distance(4.06), Percent Closer(57.91)
485: Distance(4.06), Percent Closer(57.83)
486: Distance(4.06), Percent Closer(57.74)
487: Distance(4.06), Percent Closer(57.65)
488: Distance(4.06), Percent Closer(57.57)
489: Distance(4.06), Percent Closer(57.48)
490: Distance(4.06), Percent Closer(57.39)
491: Distance(4.06), Percent Closer(57.3)
492: Distance(4.06), Percent Closer(57.22)
493: Distance(4.06), Percent Closer(57.13)
494: Distance(4.04), Percent Closer(57.04)
495: Distance(4.04), Percent Closer(56.96)
496: Distance(4.04), Percent Closer(56.87)
497: Distance(4.04), Percent Closer(56.78)
498: Distance(4.04), Percent Closer(56.7)
499: Distance(4.02), Percent Closer(56.61)
500: Distance(4.01), Percent Closer(56.52)
501: Distance(4.0), Percent Closer(56.43)
502: Distance(4.0), Percent Closer(56.35)
503: Distance(4.0), Percent Closer(56.26)
504: Distance(4.0), Percent Closer(56.17)
505: Distance(4.0), Percent Closer(56.09)
506: Distance(4.0), Percent Closer(56.0)
507: Distance(4.0), Percent Closer(55.91)
508: Distance(4.0), Percent Closer(55.83)
509: Distance(4.0), Percent Closer(55.74)
510: Distance(4.0), Percent Closer(55.65)
511: Distance(4.0), Percent Closer(55.57)
512: Distance(3.99), Percent Closer(55.48)
513: Distance(3.98), Percent Closer(55.39)
514: Distance(3.98), Percent Closer(55.3)
515: Distance(3.98), Percent Closer(55.22)
516: Distance(3.97), Percent Closer(55.13)
517: Distance(3.95), Percent Closer(55.04)
518: Distance(3.94), Percent Closer(54.96)
519: Distance(3.91), Percent Closer(54.87)
520: Distance(3.9), Percent Closer(54.78)
521: Distance(3.9), Percent Closer(54.7)
522: Distance(3.9), Percent Closer(54.61)
523: Distance(3.89), Percent Closer(54.52)
524: Distance(3.89), Percent Closer(54.43)
525: Distance(3.89), Percent Closer(54.35)
526: Distance(3.89), Percent Closer(54.26)
527: Distance(3.87), Percent Closer(54.17)
528: Distance(3.87), Percent Closer(54.09)
529: Distance(3.87), Percent Closer(54.0)
530: Distance(3.87), Percent Closer(53.91)
531: Distance(3.87), Percent Closer(53.83)
532: Distance(3.87), Percent Closer(53.74)
533: Distance(3.87), Percent Closer(53.65)
534: Distance(3.81), Percent Closer(53.57)
535: Distance(3.8), Percent Closer(53.48)
